
{'date': 'Junior September Early', 'grade': 'Pre-OP', 'name': 'Aster Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Early', 'grade': 'OP', 'name': 'Momiji Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Late', 'grade': 'OP', 'name': 'Hagi Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior October Late', 'grade': 'OP', 'name': 'Ivy Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior November Early', 'grade': 'OP', 'name': 'Fukushima Junior Stakes', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Junior December Late', 'grade': 'OP', 'name': 'Christmas Rose Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Early', 'grade': 'OP', 'name': 'Junior Cup', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Early', 'grade': 'OP', 'name': 'Kobai Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Late', 'grade': 'OP', 'name': 'Crocus Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic January Late', 'grade': 'OP', 'name': 'Wakagoma Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Early', 'grade': 'OP', 'name': 'Elfin Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Late', 'grade': 'OP', 'name': 'Hyacinth Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Late', 'grade': 'OP', 'name': 'Marguerite Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic February Late', 'grade': 'OP', 'name': 'Sumire Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2200, 'race-type': 'Medium', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Early', 'grade': 'OP', 'name': 'Anemone Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Early', 'grade': 'OP', 'name': 'Shoryu Stakes', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic March Late', 'grade': 'OP', 'name': 'Wakaba Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Early', 'grade': 'OP', 'name': 'Fukuryu Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Early', 'grade': 'OP', 'name': 'Wasurenagusa Sho', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Late', 'grade': 'OP', 'name': 'Sweetpea Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Late', 'grade': 'OP', 'name': 'Tachibana Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic April Late', 'grade': 'OP', 'name': 'Tango Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic May Early', 'grade': 'OP', 'name': 'Principal Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic May Early', 'grade': 'OP', 'name': 'Seiryu Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic May Late', 'grade': 'OP', 'name': 'Hosu Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic May Late', 'grade': 'OP', 'name': 'Shirayuri Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Early', 'grade': 'OP', 'name': 'Sleipnir Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 2100, 'race-type': 'Medium', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Early', 'grade': 'OP', 'name': 'Tempozan Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'OP', 'name': 'Akhalteke Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'OP', 'name': 'Onuma Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'OP', 'name': 'Paradise Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'OP', 'name': 'Sannomiya Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic June Late', 'grade': 'OP', 'name': 'Yonago Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Spring', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'OP', 'name': 'Marine Stakes', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'OP', 'name': 'Meitetsu Hai', 'racetrack': 'Chukyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Early', 'grade': 'OP', 'name': 'Tomoe Sho', 'racetrack': 'Hakodate', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic July Late', 'grade': 'OP', 'name': 'Fukushima TV Open', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Early', 'grade': 'OP', 'name': 'Aso Stakes', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Early', 'grade': 'OP', 'name': 'Kanetsu Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Early', 'grade': 'OP', 'name': 'Sapporo Nikkei Open', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 2600, 'race-type': 'Long', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Early', 'grade': 'OP', 'name': 'UHB Sho', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Late', 'grade': 'OP', 'name': 'BSN Sho', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Late', 'grade': 'OP', 'name': 'Kokura Nikkei Open', 'racetrack': 'Kokura', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Late', 'grade': 'OP', 'name': 'NST Sho', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic August Late', 'grade': 'OP', 'name': 'Toki Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Summer', 'daytime': '?', 'fans': '?'}
{'date': 'Classic September Early', 'grade': 'OP', 'name': 'Enif Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic September Early', 'grade': 'OP', 'name': 'Radio Nippon Sho', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic September Early', 'grade': 'OP', 'name': 'Tancho Stakes', 'racetrack': 'Sapporo', 'direction': 'right', 'terrain': 'Turf', 'distance': 2600, 'race-type': 'Long', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic September Late', 'grade': 'OP', 'name': 'Nagatsuki Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic September Late', 'grade': 'OP', 'name': 'Port Island Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Early', 'grade': 'OP', 'name': 'Green Channel Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Early', 'grade': 'OP', 'name': 'October Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Early', 'grade': 'OP', 'name': 'Opal Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Early', 'grade': 'OP', 'name': 'Shinetsu Stakes', 'racetrack': 'Niigata', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Early', 'grade': 'OP', 'name': 'Uzumasa Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Late', 'grade': 'OP', 'name': 'Brazil Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 2100, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Late', 'grade': 'OP', 'name': 'Cassiopeia Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Late', 'grade': 'OP', 'name': 'Lumiere Autumn Dash', 'racetrack': 'Niigata', 'direction': '?', 'terrain': 'Turf', 'distance': 1000, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic October Late', 'grade': 'OP', 'name': 'Muromachi Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Early', 'grade': 'OP', 'name': 'Oro Cup', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Late', 'grade': 'OP', 'name': 'Andromeda Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 2000, 'race-type': 'Medium', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Late', 'grade': 'OP', 'name': 'Autumn Leaf Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Late', 'grade': 'OP', 'name': 'Capital Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Late', 'grade': 'OP', 'name': 'Fukushima Minyu Cup', 'racetrack': 'Fukushima', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1700, 'race-type': 'Mile', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic November Late', 'grade': 'OP', 'name': 'Shimotsuki Stakes', 'racetrack': 'Tokyo', 'direction': 'left', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Fall', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Early', 'grade': 'OP', 'name': 'December Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Early', 'grade': 'OP', 'name': 'Lapis Lazuli Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Early', 'grade': 'OP', 'name': 'Rigel Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1600, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Early', 'grade': 'OP', 'name': 'Shiwasu Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Early', 'grade': 'OP', 'name': 'Tanzanite Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Late', 'grade': 'OP', 'name': 'Betelgeuse Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1800, 'race-type': 'Mile', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Classic December Late', 'grade': 'OP', 'name': 'Galaxy Stakes', 'racetrack': 'Hanshin', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1400, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'Carbuncle Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Turf', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'January Stakes', 'racetrack': 'Nakayama', 'direction': 'right', 'terrain': 'Dirt', 'distance': 1200, 'race-type': 'Short', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
{'date': 'Senior January Early', 'grade': 'OP', 'name': 'Manyo Stakes', 'racetrack': 'Kyoto', 'direction': 'right', 'terrain': 'Turf', 'distance': 3000, 'race-type': 'Long', 'season': 'Winter', 'daytime': '?', 'fans': '?'}
